ID,STANAME,LAT,LON,COMID,GRP,COMID.DUP,eco3,ecos3.NA,AggEco,npdes,fwwd,strg,devl,cndp,wy1990,wy1991,wy1992,wy1993,wy1994,wy1995,wy1996,wy1997,wy1998,wy1999,wy2000,wy2001,wy2002,wy2003,wy2004,wy2005,wy2006,wy2007,wy2008,wy2009,wy2010,wy2011,wy2012,wy2013,wy2014,wy2015,wy2016,wy2017,wy2018
T01010000,"St. John River at Ninemile Bridge, Maine",46.70055556,-69.7155556,4289887,g3,FALSE,58,5.3.1,NorthEast,0,0.33,0,0.01,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01010070,"Big Black River near Depot Mtn, Maine",46.89388889,-69.7516667,4289553,g3,FALSE,58,5.3.1,NorthEast,0,0.52,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01010500,"St. John River at Dickey, Maine",47.11305556,-69.0880556,4288603,g3,FALSE,58,5.3.1,NorthEast,0,0.43,0,0,0.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01011500,"St. Francis River near Connors, New Brunswick",47.20697926,-68.9564281,4288013,g3,FALSE,58,5.3.1,NorthEast,0,0.52,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
T01013500,"Fish River near Fort Kent, Maine",47.237394,-68.582642,724696,g2,FALSE,82,8.1.8,NorthEast,0,0.52,1405,0.39,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01014000,"St. John River below Fish R, nr Fort Kent, Maine",47.2833333,-68.58527778,4287975,g3,FALSE,58,5.3.1,NorthEast,0,0.43,180467,0.1,0.07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T01017550,"Williams Brook at Phair, Maine",46.628056,-67.953056,816569,g2,FALSE,82,8.1.8,NorthEast,0,0.52,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",46.1811111,-67.80388889,817165,g3,FALSE,82,8.1.8,NorthEast,0.31,0.52,3075,2.89,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
T01021470,"Libby Brook near Northfield, Maine",44.800833,-67.725,2677654,g2,FALSE,82,8.1.8,NorthEast,0,0.22,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
T01021480,"Old Stream near Wesley, Maine",44.936944,-67.736111,2676222,g2,FALSE,82,8.1.8,NorthEast,0,0.22,0,0.61,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
