site_no,total_days,approved_days,start_date,end_date,mean_all_flow,sd_all_flow,mean_approved_flow,sd_approved_flow
01010000,25966,20515,1950-10-01,2021-11-02,2445.23253870446,3882.8245425536797,2620.211801121131,4073.7334241923745
01010070,13913,8154,1983-10-01,2021-11-02,340.6840365126141,574.7837310077251,391.5064581800343,611.9849108851453
01010500,27782,22471,1910-07-05,2021-11-01,4824.991109351378,7821.341368351602,5268.6377998308935,8330.03690269286
01011500,15564,15199,1951-10-01,2017-09-29,881.517476227191,1328.1789017974982,894.9090729653267,1340.943128715455
01013500,35749,31943,1903-07-29,2021-11-01,1453.402022434194,1823.483038659333,1537.1706101493285,1903.6765239030983
01014000,34731,29760,1926-10-01,2021-11-01,9830.853502634534,14202.833740215077,10525.918548387097,14940.122254214817
01017550,8036,5169,1999-11-01,2021-10-31,6.671884021901444,11.543345386417739,8.246380344360611,13.729843462497705
01018035,6095,4002,2005-07-01,2022-03-08,542.8897785069729,793.8474682238906,610.2180659670165,929.5958197059645
01021470,7222,5880,2000-06-14,2021-10-31,15.019425366934367,15.513327040725118,15.602755102040817,16.512672222583763
01021480,8481,7110,1998-07-31,2021-10-18,62.42359627402429,79.82230914050805,63.03847960618847,82.91930428872094
01022260,7147,5569,1980-07-29,2009-03-31,146.99599832097383,141.07072106254788,150.56405099658826,148.46253212586808
01022294,10418,8887,1988-03-24,2016-09-30,0.12339604530620081,0.25897391845578643,0.1338865758973782,0.27346978918799475
01022330,2299,1651,2002-09-01,2009-03-31,236.92670726402784,254.95006825274132,263.2764990914597,285.0859432438775
01022500,27038,24643,1948-02-05,2022-02-13,504.2932576373992,592.6629660015661,519.1251876800715,610.1294147732336
01022835,2700,2325,1999-05-11,2006-09-30,0.3675407407407407,1.0465468315668724,0.3818494623655914,1.0123502518427712
01022840,5796,4850,2006-04-28,2022-03-10,4.834202898550725,10.405194859877739,5.142237113402062,11.03648443031557
01022860,2713,2261,1999-04-28,2006-09-30,0.5989531883523774,1.6599962268339188,0.6437151702786378,1.7215829041400483
01023000,21991,21991,1909-10-01,1979-09-30,270.93170387885954,325.2005715270382,270.93170387885954,325.2005715270382
01027200,7367,4396,2001-09-01,2021-11-01,473.4777711415773,768.9585748113415,508.9084940855323,736.2666229193613
01029200,8615,5305,1998-04-01,2021-10-31,320.5690528148578,432.18171370791424,380.302205466541,510.45701397730517
01030350,4907,3090,2008-10-01,2022-03-08,104.69042796005706,147.2429409443784,114.8567928802589,165.50027243995913
01030500,31937,27957,1934-10-01,2022-03-09,2620.3422801139745,3431.9087687924634,2745.1552992095003,3593.899565547778
01031300,9285,6181,1996-10-01,2022-03-03,241.489619816909,394.51006184572543,289.55109529202394,462.0900675434864
01031500,43619,39347,1902-10-01,2022-03-03,609.7540828538023,1005.2410913102408,631.5764744453198,1028.2848952056406
01031510,4864,3421,2008-07-01,2021-10-24,51.51071957236842,71.97760763629846,56.31525285004385,79.48963449933642
01033500,21667,21667,1920-06-05,1979-09-30,709.747819264319,1045.4348476060798,709.747819264319,1045.4348476060798
01037000,8336,6895,1908-10-01,2021-10-19,440.52896113243764,714.4154125355658,458.78900507614213,757.3823530278714
01037380,8531,6377,1998-06-10,2021-10-17,34.1596096588911,55.78927143938534,36.235137211855104,60.34147507109417
01044550,8136,5020,1999-08-01,2021-11-08,382.57066125860376,544.5815156142113,436.54583665338646,617.2705795792826
01046000,18759,17283,1931-10-01,2021-11-08,180.47104856335625,309.01471396999204,185.56403922930048,318.85432719874854
01047000,36933,32533,1902-10-01,2022-03-06,746.7912544337042,1221.977467084679,770.4406479574586,1250.4060262074274
01047200,4858,3190,2008-07-01,2021-10-18,64.37324825030876,109.4336678425439,77.28742006269593,127.20005744374899
01048220,4902,3193,2008-06-01,2021-11-01,44.5265605875153,72.56673541422494,46.605809583463824,79.33152723507814
01052500,29340,24834,1941-07-19,2021-11-15,355.93692535787324,564.7487346817377,382.4176367077394,598.0816485269511
01054200,20949,16760,1964-07-10,2021-11-16,191.96380352284118,376.3657174833673,208.03094988066826,400.8486813187288
01054300,14852,12549,1963-02-15,2021-11-02,266.94056019391326,390.80410814258045,284.27340823970036,414.07062285385297
01055000,33743,29780,1929-06-16,2021-11-02,208.7629357200012,380.25797458716676,219.67930423102754,393.6137710447333
01057000,36771,34063,1913-10-01,2021-11-02,140.0874303119306,228.18940513071706,144.99353785632505,235.08212535092443
01063100,2479,2018,1975-05-24,2000-11-28,299.98628479225493,357.208394046265,315.3255698711596,385.0688733639866
01063310,9501,8371,1995-10-01,2021-10-04,2.0318998000210504,2.916509925968828,2.1062131167124596,3.0606732994707495
010642505,4534,3659,2009-09-18,2022-02-15,279.21541685046316,435.7699433508309,302.54892047007377,441.49861424012755
01064300,14906,12993,1963-12-10,2004-09-30,34.17096135784248,55.620392579484644,35.92608404525514,57.36282756310215
01064400,10224,9417,1964-06-01,1992-05-28,11.09782668231612,22.503999985962,11.133171923117766,22.38128217878273
01064801,10652,8478,1993-04-01,2022-05-30,163.97880210289148,253.43919810182442,174.0358928992687,271.7330288178959
01067950,4864,3770,2008-06-12,2021-10-05,55.76528166118421,94.60941577671743,53.33271352785146,101.0239328326328
01073000,31975,30330,1934-12-15,2022-06-30,20.159552462861612,32.1109132114403,20.285458951533137,32.43856049892811
01074520,10674,8853,1993-03-10,2022-05-30,350.3090219224283,494.87199847539307,383.5826725403818,520.3761325427503
01075800,12921,11899,1963-05-17,1998-09-30,4.851077315997214,10.579023638587918,5.006164383561644,10.87996277691714
01077400,4953,4634,2008-09-12,2022-04-04,47.662634766808,87.73338437670974,48.84602934829521,88.53071900621498
01078000,38008,36539,1918-05-11,2022-06-01,147.7302333719217,225.74394509437846,149.08051178193165,228.61578897226255
01079900,2275,1950,1998-07-10,2004-09-30,10.027832967032968,16.167577809147286,10.447861538461538,16.953454772516533
01084500,9131,9131,1945-10-01,1970-09-30,91.91187383638156,149.99676651353798,91.91187383638156,149.99676651353798
01085800,15473,14537,1962-05-22,2004-09-30,11.783636657403218,21.656606824740734,11.931539519845911,21.907655905081956
01086000,21625,21117,1939-10-01,2021-12-14,253.24348069364163,343.23001189354443,252.7889785480892,343.1089426581285
01091000,19124,18126,1940-07-27,2022-08-17,172.27840148504498,235.65369962414718,171.41088767516274,239.10135638295003
01093800,15129,13668,1963-05-01,2004-09-30,7.115055192015335,12.214684823700514,7.189909277143693,12.05941260130617
01109090,1017,960,2007-01-01,2009-10-13,8.476902654867256,9.674480237079436,8.377916666666666,9.855015006865312
01115110,4878,4497,2008-10-01,2022-02-07,12.097056170561705,22.35349816467654,12.021967978652436,22.576699395151753
01115114,4628,3933,2008-10-01,2021-06-02,8.7161970613656,16.015352398302557,9.07645308924485,16.85986173569775
01115183,4815,4430,2008-10-01,2021-12-06,3.963595015576324,4.987836985715338,3.904568848758465,5.110230790537585
01115184,2764,2486,2008-10-01,2022-04-14,2.470814037626628,4.517265533512382,2.441609010458568,4.637493163621818
01115265,4509,3970,2008-10-01,2021-02-03,18.162173430915946,37.21282293563058,17.729498740554156,38.5769827998596
01115275,1840,1802,2009-09-30,2014-10-13,1.4287065217391304,1.53806668076394,1.4362097669256382,1.5529549867407366
01115280,4943,4342,2008-10-01,2022-04-13,3.307517701800526,6.151411064316354,3.34683095347766,6.262533002098855
01115297,2206,1834,2008-10-01,2014-10-15,8.345222121486854,11.277205360562096,8.4803653217012,9.599163040189545
01115630,12090,11955,1963-11-26,2022-06-16,18.47558312655087,20.178000210433694,18.460443329150984,20.228343962175845
01115770,7534,7480,1964-11-26,2012-05-09,13.006541014069551,16.17417285932638,12.99145320855615,16.19480346757376
01117370,8694,8516,1998-10-01,2022-07-20,38.60390729238555,42.848578528096354,38.78296383278535,43.06164105918018
01117468,17468,17152,1974-12-04,2022-09-30,20.822320242729564,19.089626279511496,20.909442630597013,19.205228633089835
01117800,20901,20672,1964-01-23,2022-04-13,75.52221472656811,68.42102730193174,75.53533862229102,68.61577254920894
01118300,22533,21494,1958-10-01,2020-06-09,8.89558469799849,11.743188221251996,8.92577742625849,11.91709022241
01120500,11330,11330,1950-10-01,1981-10-07,7.981889673433363,16.156711775320346,7.981889673433363,16.156711775320346
01121000,29598,27883,1940-10-01,2021-10-13,53.23164876005136,79.26093018552754,53.33522361295413,79.93736001533031
01121330,5326,4759,2006-07-11,2021-02-07,33.84925084491175,43.19596349493275,34.10916579113259,44.66480611409605
01123000,25516,23817,1951-10-01,2021-08-09,56.80952617965198,76.50267295840953,56.94991938531301,78.09057017896117
01125490,7493,7191,1961-08-01,2021-10-14,57.26395168824236,77.63235103323535,58.510347656793215,78.73792070754615
01127880,7733,7733,1963-12-01,1985-01-31,15.694897193844563,24.355911769157665,15.694897193844563,24.355911769157665
01129440,6575,4805,1986-10-01,2004-09-30,67.74898098859316,111.5097488109731,77.26125910509886,125.30468188469116
01129500,33319,30236,1930-08-13,2021-11-01,1617.976559920766,1711.7533408382,1649.9306786611985,1770.3727239109287
01130000,27498,23896,1940-08-10,2022-06-15,484.25073823550804,645.6404486697161,507.3735897221292,675.9646018837778
01134500,27495,23838,1947-01-01,2022-04-11,153.12055464629933,227.94511413270948,161.68163352630253,238.97360049434218
01135000,20143,20143,1928-08-07,1983-09-30,219.5582882390905,343.835975196069,219.5582882390905,343.835975196069
01135150,11448,10239,1990-12-07,2022-04-10,6.508715059399021,8.011300635355994,6.648225412637953,8.145263768914019
01135300,11579,9295,1990-10-01,2022-06-13,73.76987563692893,99.0990405651046,76.89023668639054,102.21062983257889
01137500,30042,28064,1939-08-02,2021-10-31,214.14642167631982,302.8411254845053,219.59880629988598,305.66322203038993
01138000,16443,16443,1935-09-25,1980-09-30,649.1466885604817,936.6840604404849,649.1466885604817,936.6840604404849
01139000,29679,26670,1940-08-02,2021-11-03,153.35001314060446,188.73538839579007,159.0291241094863,196.3621788596334
01139800,23160,19445,1958-06-01,2021-10-27,16.37201122625216,19.67521662505734,16.801722807919774,20.47729632985668
01141800,13210,11745,1962-08-01,1998-09-30,7.387170325510977,13.547233326653114,7.598603661132397,14.090437190630256
01142500,30042,26885,1939-07-15,2022-06-14,51.50829239065309,68.29419897449644,52.849288450809,70.49088821257097
01144000,38827,36178,1915-06-09,2022-09-27,1233.8155227032735,1666.6811151454892,1249.8814002985239,1692.2523047976524
01145000,14312,14312,1939-07-26,1978-09-30,118.12443404136388,180.64022678839737,118.12443404136388,180.64022678839737
01150900,13302,10795,1984-10-01,2022-05-22,60.79792061344159,86.75116291470633,65.32955442334413,91.28961215005253
01153500,16173,16173,1940-06-21,1984-09-30,174.33157732022508,298.80368455062654,174.33157732022508,298.80368455062654
01154000,23235,21951,1940-06-20,2022-09-30,127.78645534753605,199.69097894065973,129.5095831624983,202.66948375812024
01154950,4570,3818,2009-09-16,2022-03-21,136.32983588621445,194.40427927331248,142.68364326872708,199.82943873914502
01155000,13979,13979,1940-06-23,1978-09-30,117.22993061020101,187.73871429722368,117.22993061020101,187.73871429722368
01162500,38049,37008,1916-05-25,2022-06-12,34.42548976320008,49.064437939499776,33.98835873324686,48.761091380786695
01165500,24470,24470,1909-06-04,1982-09-30,19.85718389865141,29.579831644790467,19.85718389865141,29.579831644790467
01169000,30142,28113,1939-12-13,2022-06-21,196.22575509256188,314.4209537440292,201.5645221072102,323.76115320024064
01170100,19896,17348,1967-10-01,2022-03-21,93.94003568556494,130.6645121962656,97.85228153101222,137.45982732166289
01170930,1117,882,2006-09-22,2009-10-14,35.40244404655327,48.4760706850001,38.40515873015873,51.40430235936576
01174000,12735,12735,1947-11-19,1982-09-30,6.147788771103259,8.649037102096981,6.147788771103259,8.649037102096981
01174565,10385,8950,1983-11-08,2022-06-15,24.83550409244102,35.383946141820104,26.017935195530725,37.32519124131052
01174600,12133,11996,1961-07-13,1994-09-30,1.15333058600511,1.9677192632997367,1.1602309103034345,1.977120011491413
01174900,13230,12475,1961-07-13,1997-10-01,5.154513983371126,7.9998869040351925,5.046692585170341,7.966813077319673
01180000,10621,10621,1945-06-20,1974-07-18,2.61001318143301,4.448235368165489,2.61001318143301,4.448235368165489
01181000,31522,30016,1935-09-01,2021-12-19,198.33979125689993,348.3528665269979,199.70421775053305,340.7589690913794
