site_no,drainArea
01115630,8.23
01117468,8.87
01117800,35.2
01118300,4.02
01120500,4.15
01121000,28.6
01123000,30
01187800,23.5
01188000,4.1
01193500,100
01194000,20.1
01194500,22.3
01195200,6.55
01199200,3.5
01208950,7.38
01208990,21
01365000,38.3
01409810,84.1
01411300,30.8
01418500,81.9
01419500,62.6
01435000,66.6
01439500,117
01440000,64
01440400,65.9
01448500,2.39
01451800,53
01466500,2.35
01484000,12.9
01484100,3.02
01485000,60.5
01485500,44.9
01486000,4.8
01487000,75.4
01490000,15
01491000,113
01492000,5.85
