site_no,num_peaks,first_date,last_date,max_peak,mean_peak,sd_peak
01010000,69,1951-04-11,2019-04-22,47700,26384.057971014492,7998.301716585285
01010070,36,1984-05-01,2019-04-22,8680,4767.777777777777,1543.1139410039152
01010500,73,1947-05-09,2019-04-23,104000,54195.890410958906,17962.526102634434
01011500,65,1952-05-01,2016-04-25,18700,7515.076923076923,2970.480349979677
01013500,95,1904-05-07,2019-04-28,18300,8716.631578947368,2768.0862159607964
01014000,93,1927-04-24,2019-04-23,183000,88807.52688172043,27925.659217469653
01017550,20,2000-04-10,2019-04-20,364,147.74,74.49694730587782
01021480,21,1999-03-02,2018-12-23,1710,665.6190476190476,314.5802721390005
01022294,28,1989-05-11,2016-01-10,36.8,8.872142857142856,6.5011704684862295
01022500,72,1948-05-19,2018-12-22,10400,4390.694444444444,1672.1078258823957
01023000,60,1909-09-29,1979-03-25,4220,1891.8,727.6569036926163
01027200,17,2002-04-18,2019-04-22,10300,7258.823529411765,1987.6741507127783
01029200,22,1998-04-21,2019-04-22,6350,3014.5454545454545,1043.171570934967
01030500,117,1903-03-25,2019-04-24,46600,17485.299145299145,5511.992188299851
01031300,23,1996-12-02,2019-04-27,7550,4403.913043478261,1587.4414495442738
01031500,117,1903-06-14,2019-04-27,37300,9604.529914529914,4883.851556621541
01033500,59,1920-10-01,1979-04-28,28600,9656.271186440677,5757.201756332757
01037000,20,1909-04-15,2019-04-21,6300,3750,1155.276225798288
01037380,21,1999-01-15,2018-12-22,1680,704.6666666666666,364.3258614665357
01044550,20,2000-05-11,2019-04-22,7470,4787.5,1389.8385934307169
01046000,49,1932-09-17,2019-04-21,8280,2857.7551020408164,1514.9206047762075
01047000,94,1926-05-03,2019-04-21,50700,14252.872340425532,7338.745112959719
01052500,78,1942-04-25,2019-04-21,12800,5215,1811.1141365425913
01054200,56,1959-10-24,2019-04-20,37800,10502.67857142857,7114.786265510448
01054300,38,1963-11-08,2019-04-21,7830,4552.368421052632,1633.522862306653
01055000,90,1930-04-07,2019-04-20,16800,7073.222222222223,3514.866605354065
